BPM,RMS Energy,Zero-Crossing Rate,Жанр
107,0.6675696238652399,0.2733737410621683,рок
91,0.20618691666342726,0.1183963769398141,хип-хоп
72,0.23916256135817637,0.07066843598767454,хип-хоп
118,0.4483607011362766,0.10752736948459396,поп
100,0.7394679179698698,0.19554297817604555,рок
133,0.5073899427560628,0.14974483088605758,рок
156,0.7760533769831114,0.11069705934947378,рок
117,0.21232025503036275,0.19286381925624602,поп
119,0.27525815820399835,0.08992981040423674,поп
76,0.20828959476551318,0.14366481518557073,хип-хоп
113,0.6675953018856915,0.1779236172438407,рок
102,0.271936207747221,0.1252086763925529,поп
91,0.40985366323015815,0.12934480650466235,поп
125,0.5975574860733739,0.11834082945169622,рок
95,0.3914811781530051,0.1482897762998897,поп
114,0.32849434248203235,0.09978011133644012,поп
98,0.13774142166827588,0.10805440123439097,хип-хоп
126,0.45812138549350256,0.1273426158329756,поп
159,0.6883759697008518,0.28923890857633805,рок
159,0.5489131066246973,0.11999697743237268,рок
139,0.5434587125184656,0.24884233138865958,рок
71,0.18955663291461833,0.11158511643899138,хип-хоп
138,0.29844580024241957,0.1684520847011623,поп
100,0.5400313630778704,0.2376060020350078,рок
77,0.25706813022278874,0.09965611906830776,хип-хоп
79,0.2712648583756185,0.11798447799002458,хип-хоп
140,0.6170160922219597,0.12269292040348961,рок
122,0.6322746485745819,0.15952703490186218,рок
121,0.5016654596278955,0.23620788541938179,рок
103,0.28895304309433956,0.17625310988320808,поп
80,0.2953229911665306,0.13866803872980477,хип-хоп
99,0.21853934477587872,0.14442515971251674,хип-хоп
73,0.2765272686378679,0.07500164492161046,хип-хоп
146,0.7977829850443283,0.19650418992852847,рок
93,0.4945522664931593,0.19504428888894154,поп
158,0.5118241367187035,0.21626108344535644,рок
94,0.38345411325970413,0.11872236659331004,поп
103,0.20155545883219605,0.19095719962683155,поп
117,0.32340617151700357,0.11357162086027349,поп
152,0.4703701010709382,0.198605131554361,рок
124,0.4715290836885315,0.22048818518022378,рок
121,0.22824709648056804,0.16713450128862178,поп
94,0.28810465289792075,0.0885396620965565,хип-хоп
91,0.29668462817896857,0.06285003532339102,хип-хоп
134,0.4835674870461441,0.25343897062171433,рок
104,0.3025639000149205,0.18957989027091715,поп
84,0.2016397553481437,0.1151484771857788,хип-хоп
107,0.11617066526654306,0.1367198933555004,хип-хоп
115,0.46598514468519797,0.10601709279037895,поп
114,0.6545330472743582,0.294849641706882,рок
111,0.47636441246013844,0.24101687285933196,рок
109,0.4232127928997346,0.19030118622026715,поп
108,0.2424541179848884,0.09646738129396114,хип-хоп
126,0.5181162353675756,0.14750129425849398,рок
147,0.5490747468376198,0.18689036889765426,рок
144,0.5942455014344907,0.29136017702529127,рок
98,0.2212822750999783,0.16344933477279772,поп
150,0.5996773519539009,0.14451528351420612,рок
133,0.3300562212742226,0.14973951454169915,поп
123,0.7456670260287612,0.267696152752797,рок
117,0.4143785312539856,0.08914404555189959,поп
110,0.49207410729662215,0.18521829500938822,рок
106,0.2716717609627439,0.07739611273211337,хип-хоп
109,0.1690142496053366,0.1433436308079483,хип-хоп
108,0.2619002092279431,0.11182538843378928,хип-хоп
122,0.7376852562905246,0.18104041735628343,рок
71,0.23513802340785614,0.09960374542934061,хип-хоп
98,0.33070186960336734,0.09606225425607598,поп
106,0.5946968611837821,0.20918315403299778,рок
115,0.2244782541200721,0.08520809399578073,поп
109,0.1521658349660818,0.10685202837499583,хип-хоп
134,0.5290203056954402,0.18004457857440498,рок
96,0.4526069225035944,0.13438890161945974,поп
95,0.2675420211814656,0.07606945282359032,хип-хоп
154,0.5578765867237889,0.15073643477462775,рок
107,0.5222788077148728,0.1755975180244509,рок
96,0.2632863746438768,0.13206394757439555,хип-хоп
116,0.2582821860536127,0.11035882015870893,поп
107,0.7074216057225237,0.2783793817553553,рок
106,0.7921326334864183,0.24163623911663995,рок
84,0.15078308278686894,0.1263364423003911,хип-хоп
123,0.4072301454462084,0.11665688223905193,рок
77,0.23915687986901643,0.05391863266756463,хип-хоп
97,0.35500887722797003,0.08762141955080016,поп
122,0.21431483830749465,0.08904308724229548,поп
128,0.603525630735504,0.2861858211374585,рок
121,0.3371795484841186,0.11119398354251153,поп
87,0.16973319745834586,0.08365542148887264,хип-хоп
126,0.41901179496854557,0.08164063577923968,поп
105,0.18090162542443802,0.12399087604473745,хип-хоп
102,0.26062795127597915,0.11771683423829817,хип-хоп
104,0.3190351481641665,0.08905214565077231,поп
134,0.41744150870177354,0.1293209643384051,рок
90,0.14404820951310965,0.08772590832279759,хип-хоп
105,0.10661014658010969,0.051530454029038476,хип-хоп
113,0.23604939434169267,0.16998928993639661,поп
125,0.2814628747459226,0.11191255099570868,поп
88,0.12961738599067998,0.11497736826427633,хип-хоп
97,0.25966902499691025,0.11259396701015728,хип-хоп
123,0.7720067339243328,0.21429460504100212,рок
90,0.23926085456795768,0.08463043210894008,хип-хоп
76,0.16519178104037696,0.07145891197083741,хип-хоп
104,0.2152305593118191,0.09994585182911035,поп
102,0.3736594686522676,0.1994997650035245,поп
140,0.621105986734196,0.21837774776425686,рок
131,0.20828503156211142,0.1153392736207316,поп
